title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
ocean star express,Unknown,mark haddonpeter sutton,juvenile fiction,joe and his parents are enjoying a summer holiday by the sea at the ocean star hotel the sky is bright blue the sun shines and joe loves all that the seaside has to offer but when the fog rolls in and rain falls joe begins to wish that he was back at home again things change however when the owner of the hotel invites joe to share in a magical world only a few steps away the loft is black as night but then above joes head a thousand tiny stars begin to sparkle and in the distance he hears the chugchugchug of a model train a whole world is soon to open up before joes eyes a world of snowcapped mountains great deserts and rocking fishing boats,0.32090607512492114,-1.3140169249755311,-1.308704550132044,-0.1526892549103802
a small pinch of weather,And Other Stories,joan aiken,childrens stories english,a magical and fantastic collection of early stories by one of the most original childrens authors of the 20th century for 811 year olds,0.13008948004364757,1.0195502454928138,-0.4517091336993099,-0.1518512096285672
the princess of the chalet school,Unknown,elinor mary brentdyer,juvenile fiction,unknown,0.13008948004364757,0.5043471039608415,-0.7829150917409462,-0.14944638403727772
koko,Unknown,peter straub,male friendship,koko is peter straubs foray into the psychological horror of the vietnam war,0.22549777758428435,-1.1321805220818937,1.1836202841312697,-0.09741470306210508
tree and leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,john ronald reuel tolkien,literary collections,the two works on fairystories and leaf by niggle were first brought together to form the book tree and leaf in 1964 in this new edition a third element is added the poem mythopoeia the making of mythspreface,0.22549777758428435,0.4740410368119025,-0.7125338256570986,-0.13633644088961167
partners in crime,Unknown,agatha christie,beresford tommy fictitious character,the famous volume of tommy tuppence linked short stories reissued in a new look to coincide with the brand new series of tommy tuppence bbc movies tommy and tuppence beresford were restless for adventure so when they were asked to take over blunt s international detective agency they leapt at the chance after their triumphant recovery of a pink pearl intriguing cases kept on coming their way a stabbing on sunningdale golf course cryptic messages in the personal columns of newspapers and even a box of poisoned chocolates,0.22549777758428435,-0.49575311195416294,-0.004581090343100792,-0.08342299053096622
murder in mesopotamia,Unknown,agatha christie,detective and mystery stories,an archaeologists wife is murdered on the shores of the river tigris in iraq it was clear to amy leatheran that something sinister was going on at the hassanieh dig in iraq something associated with the presence of lovely louise wife of celebrated archaeologist dr leidner in a few days time hercule poirot was due to drop in at the excavation site but with louise suffering from terrifying hallucinations and tension within the group becoming almost unbearable poirot might just be too late,0.22549777758428435,-0.13208030616688787,-0.3482072718112985,0.034530061046645036
the lord of the rings the return of the king,Visual Companion,jude fisher,imaginary wars and battles,a visual guide to the third in the lord of the rings movie trilogy a largeformat fullcolour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras,0.4163143726655579,1.9893443942588804,-1.1431015711112258,-0.1525362205545709
all families are psychotic,Unknown,douglas coupland,dysfunctional families,on the eve of the next space shuttle mission a divided family comes together warm witty and wise all families are psychotic is coupland at the very top of his form irresistibly hilarious unique and wonderful independent on sunday in a cheap motel an hour from cape canaveral janet drummond takes her medication and does a rapid tally of the whereabouts of her children wade has spent the night in jail suicidal bryan is due to arrive at any moment with his vowelfree girlfriend shw and then there is sarah a bolt of lightning frozen in midflash here in orlando to be the star of fridays shuttle mission with janets exhusband and his trophy wife also in town janet spends a moment contemplating her family and where it all went wrong or did it,0.32090607512492114,-0.7382016491456797,-0.2861061546784917,-0.15014596966383467
death in the clouds,Unknown,agatha christie,detective and mystery stories,a woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane from seat no9 hercule poirot was ideally placed to observe his fellow air passengers over to his right sat a pretty young woman clearly infatuated with the man opposite ahead in seat no13 sat a countess with a poorlyconcealed cocaine habit across the gangway in seat no8 a detective writer was being troubled by an aggressive wasp what poirot did not yet realize was that behind him in seat no2 sat the slumped lifeless body of a woman,0.22549777758428435,-0.4048349105073448,-0.06254213300038715,0.0012341576327005292
appointment with death,Unknown,agatha christie,detective and mystery stories,a repugnant amercian widow is killed during a trip to petra among the towering red cliffs of petra like some monstrous swollen buddha sat the corpse of mrs boynton a tiny puncture mark on her wrist was the only sign of the fatal injection that had killed her with only 24 hours available to solve the mystery hercule poirot recalled a chance remark hed overheard back in jerusalem you see dont you that shes got to be killed mrs boynton was indeed the most detestable woman hed ever met,0.22549777758428435,-0.22299850761370732,-0.1867443672660008,0.02845969826620823
halloween party,Unknown,agatha christie,poirot hercule fictitious character,no one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned and hercule poirot sets out to catch the killer,0.22549777758428435,-0.8291198505924977,-0.05012190957382579,-0.01554861005438947
hercule poirots christmas,Unknown,agatha christie,christmas stories,on the night before christmas cruel tyrannical filthyrich simeon lee is found in his locked bedroom with his throat cut now hercule poirot must put his deductive powers to the test to solve one of his most chilling casesand to prevent a clever killer from spilling more blood,0.22549777758428435,-0.010856037571129531,-0.05426198404934625,0.01573598468320383
